PLAYER,POS,TEAM,GAME,FP,FD EXP,DK EXP,INN,K,HA,ER,BBI,RBI,R,H,DK,FD,OWNERSHIP
Gavin Lux,2B,LAD,LAD@ARI,2.28,8.15,6.16,,,,,,0.38,0.55,0.74,6.16,8.15,83
Christian Walker,1B,ARI,LAD@ARI,2.27,8.74,6.59,,,,,,0.47,0.48,0.82,6.59,8.74,19
Trent Grisham,RF,SD,SD@CIN,2.27,9.01,6.8,,,,,,0.51,0.37,0.89,6.8,9.01,68
Alec Bohm,1B,PHI,COL@PHI,2.25,8.31,6.34,,,,,,0.5,0.43,0.91,6.34,8.31,64
Jo Adell,CF,LAA,CLE@LAA,2.24,8.55,6.43,,,,,,0.53,0.41,0.76,6.43,8.55,75
Luis Gonzalez,CF,SF,OAK@SF,2.24,8.44,6.4,,,,,,0.45,0.43,0.8,6.4,8.44,1
Nick Madrigal,2B,CHC,CHC@ATL,2.23,8.09,6.35,,,,,,0.32,0.44,1.03,6.35,8.09,31
Brendan Rodgers,2B,COL,COL@PHI,2.23,8.59,6.74,,,,,,0.37,0.46,1.03,6.74,8.59,63
Jonathan Schoop,2B,DET,DET@MIN,2.2,8,6.17,,,,,,0.4,0.43,0.89,6.17,8,47
Odubel Herrera,CF,PHI,COL@PHI,2.19,7.63,5.88,,,,,,0.36,0.44,0.82,5.88,7.63,7
Andrew Benintendi,LF,KC,KC@CHW,2.18,8.46,6.42,,,,,,0.47,0.41,0.95,6.42,8.46,68
Wil Myers,LF,SD,SD@CIN,2.16,8.59,6.46,,,,,,0.44,0.43,0.82,6.46,8.59,37
Gary Sanchez,C,MIN,DET@MIN,2.16,7.84,5.88,,,,,,0.47,0.36,0.66,5.88,7.84,77
CJ Abrams,2B,SD,SD@CIN,2.16,8.17,6.23,,,,,,0.37,0.48,0.83,6.23,8.17,50
Robbie Grossman,RF,DET,DET@MIN,2.16,8.24,6.25,,,,,,0.35,0.43,0.71,6.25,8.24,50
Didi Gregorius,SS,PHI,COL@PHI,2.15,7.57,5.82,,,,,,0.48,0.31,0.84,5.82,7.57,22
Bobby Witt,3B,KC,KC@CHW,2.13,8.12,6.33,,,,,,0.37,0.41,0.97,6.33,8.12,95
Myles Straw,OF,CLE,CLE@LAA,2.13,8.42,6.48,,,,,,0.26,0.56,0.88,6.48,8.42,83
Kole Calhoun,RF,TEX,HOU@TEX,2.12,8.03,6.06,,,,,,0.41,0.37,0.76,6.06,8.03,15
Omar Narvaez,C,MIL,MIL@PIT,2.11,7.53,5.7,,,,,,0.4,0.41,0.78,5.7,7.53,48
Nicky Lopez,2B,KC,KC@CHW,2.11,7.65,5.99,,,,,,0.35,0.42,0.91,5.99,7.65,35
Ketel Marte,2B,ARI,LAD@ARI,2.1,8.03,6.25,,,,,,0.37,0.39,0.97,6.25,8.03,99
Anthony Rendon,3B,LAA,CLE@LAA,2.1,7.9,5.92,,,,,,0.36,0.4,0.71,5.92,7.9,98
Brandon Marsh,CF,LAA,CLE@LAA,2.09,7.91,5.91,,,,,,0.44,0.41,0.73,5.91,7.91,50
Tyler Naquin,RF,CIN,SD@CIN,2.05,7.73,5.84,,,,,,0.45,0.35,0.71,5.84,7.73,18
Austin Slater,1B,SF,OAK@SF,2.04,8.18,6.26,,,,,,0.37,0.4,0.8,6.26,8.18,16
Adam Frazier,2B,SEA,SEA@TB,2.04,7.16,5.56,,,,,,0.29,0.45,0.85,5.56,7.16,44
Jacob Stallings,C,MIA,MIA@WAS,2.04,7.33,5.51,,,,,,0.46,0.31,0.69,5.51,7.33,19
Cesar Hernandez,2B,WAS,MIA@WAS,2.03,7.53,5.78,,,,,,0.28,0.53,0.86,5.78,7.53,18
Isiah Kiner-Falefa,SS,NYY,BAL@NYY,2.03,7.38,5.69,,,,,,0.35,0.45,0.82,5.69,7.38,38
Luis Arraez,2B,MIN,DET@MIN,2.03,7.3,5.49,,,,,,0.45,0.37,0.71,5.49,7.3,44
Trey Mancini,DH,BAL,BAL@NYY,2.02,8.13,6.25,,,,,,0.38,0.4,0.89,6.25,8.13,54
Pavin Smith,1B,ARI,LAD@ARI,2.01,7.7,5.97,,,,,,0.33,0.4,0.9,5.97,7.7,24
David Peralta,LF,ARI,LAD@ARI,2.01,7.61,5.86,,,,,,0.4,0.32,0.88,5.86,7.61,20
Kevin Kiermaier,CF,TB,SEA@TB,2.01,7.95,5.93,,,,,,0.44,0.45,0.7,5.93,7.95,4
Travis d`Arnaud,C,ATL,CHC@ATL,2.01,7.46,5.62,,,,,,0.44,0.39,0.68,5.62,7.46,81
Randal Grichuk,RF,COL,COL@PHI,2.01,7.57,5.7,,,,,,0.53,0.37,0.75,5.7,7.57,62
Ian Happ,2B,CHC,CHC@ATL,1.99,7.58,5.79,,,,,,0.39,0.36,0.76,5.79,7.58,61
Kyle Farmer,1B,CIN,SD@CIN,1.99,7.46,5.68,,,,,,0.42,0.32,0.83,5.68,7.46,18
Adam Duvall,LF,ATL,CHC@ATL,1.99,7.69,5.74,,,,,,0.55,0.33,0.6,5.74,7.69,62
Hunter Dozier,3B,KC,KC@CHW,1.99,8.23,6.29,,,,,,0.34,0.38,0.79,6.29,8.23,35
Gavin Sheets,1B,CHW,KC@CHW,1.99,7.03,5.24,,,,,,0.45,0.37,0.63,5.24,7.03,14
Chad Pinder,2B,OAK,OAK@SF,1.96,8.01,6.26,,,,,,0.35,0.38,0.92,6.26,8.01,11
Nick Senzel,2B,CIN,SD@CIN,1.96,7.54,5.65,,,,,,0.37,0.42,0.75,5.65,7.54,19
Harrison Bader,CF,STL,NYM@STL,1.96,7.58,5.78,,,,,,0.35,0.41,0.71,5.78,7.58,33
Julio Rodriguez,RF,SEA,SEA@TB,1.95,7.99,6.09,,,,,,0.37,0.39,0.76,6.09,7.99,91
Enrique Hernandez,2B,BOS,BOS@TOR,1.92,7.06,5.39,,,,,,0.32,0.4,0.71,5.39,7.06,64
Miguel Sano,1B,MIN,DET@MIN,1.92,7.69,5.77,,,,,,0.37,0.4,0.68,5.77,7.69,49
Jake Burger,3B,CHW,KC@CHW,1.92,6.9,5.2,,,,,,0.38,0.42,0.69,5.2,6.9,6
Tony Kemp,2B,OAK,OAK@SF,1.9,7.72,5.92,,,,,,0.34,0.36,0.87,5.92,7.72,19
James McCann,1B,NYM,NYM@STL,1.89,7,5.33,,,,,,0.4,0.36,0.74,5.33,7,26
Elvis Andrus,SS,OAK,OAK@SF,1.88,7.2,5.74,,,,,,0.22,0.32,0.93,5.74,7.2,11
Yandy Diaz,1B,TB,SEA@TB,1.88,6.49,4.87,,,,,,0.36,0.37,0.63,4.87,6.49,10
Ha-seong Kim,2B,SD,SD@CIN,1.87,7.14,5.46,,,,,,0.32,0.37,0.7,5.46,7.14,12
Manuel Margot,CF,TB,SEA@TB,1.86,6.98,5.34,,,,,,0.39,0.35,0.71,5.34,6.98,17
Willie Calhoun,OF,TEX,HOU@TEX,1.86,6.57,5.04,,,,,,0.25,0.36,0.68,5.04,6.57,9
Max Stassi,C,LAA,CLE@LAA,1.85,6.96,5.22,,,,,,0.35,0.38,0.6,5.22,6.96,34
Daulton Varsho,C,ARI,LAD@ARI,1.84,7.21,5.51,,,,,,0.35,0.34,0.64,5.51,7.21,97
Rowdy Tellez,1B,MIL,MIL@PIT,1.84,6.48,4.83,,,,,,0.39,0.36,0.58,4.83,6.48,22
Joe Wendle,2B,MIA,MIA@WAS,1.84,6.76,5.26,,,,,,0.29,0.37,0.8,5.26,6.76,19
Elias Diaz,C,COL,COL@PHI,1.81,6.42,4.88,,,,,,0.33,0.36,0.63,4.88,6.42,69
Thomas Pham,CF,CIN,SD@CIN,1.79,7.16,5.39,,,,,,0.28,0.4,0.58,5.39,7.16,35
Ben Gamel,LF,PIT,MIL@PIT,1.78,7.42,5.56,,,,,,0.28,0.38,0.7,5.56,7.42,3
Michael Taylor,CF,KC,KC@CHW,1.77,7.68,5.85,,,,,,0.36,0.38,0.84,5.85,7.68,5
Bobby Dalbec,3B,BOS,BOS@TOR,1.76,7.02,5.4,,,,,,0.35,0.33,0.68,5.4,7.02,43
Austin Nola,1B,SD,SD@CIN,1.76,6.43,4.95,,,,,,0.39,0.31,0.73,4.95,6.43,54
Sheldon Neuse,2B,OAK,OAK@SF,1.75,6.87,5.37,,,,,,0.3,0.34,0.85,5.37,6.87,16
Zack Collins,1B,TOR,BOS@TOR,1.75,6.54,4.88,,,,,,0.41,0.32,0.57,4.88,6.54,27
Eugenio Suarez,SS,SEA,SEA@TB,1.75,6.9,5.15,,,,,,0.4,0.34,0.56,5.15,6.9,73
Mitch Garver,C,TEX,HOU@TEX,1.75,6.54,4.95,,,,,,0.34,0.34,0.62,4.95,6.54,88
Aaron Hicks,CF,NYY,BAL@NYY,1.75,6.48,4.92,,,,,,0.26,0.35,0.66,4.92,6.48,24
Josh Harrison,2B,CHW,KC@CHW,1.75,6.31,4.78,,,,,,0.42,0.31,0.67,4.78,6.31,13
Seth Beer,OF,ARI,LAD@ARI,1.74,6.6,5.01,,,,,,0.37,0.28,0.66,5.01,6.6,39
Christian Pache,CF,OAK,OAK@SF,1.73,6.86,5.29,,,,,,0.34,0.31,0.76,5.29,6.86,17
Wilmer Flores,1B,SF,OAK@SF,1.72,6.03,4.62,,,,,,0.32,0.32,0.65,4.62,6.03,20
Aledmys Diaz,2B,HOU,HOU@TEX,1.72,6.01,4.53,,,,,,0.39,0.32,0.6,4.53,6.01,3
Willson Contreras,C,CHC,CHC@ATL,1.71,6.87,5.23,,,,,,0.32,0.32,0.68,5.23,6.87,99
Thairo Estrada,2B,SF,OAK@SF,1.71,6.38,4.85,,,,,,0.33,0.36,0.63,4.85,6.38,53
Jurickson Profar,2B,SD,SD@CIN,1.71,6.43,4.76,,,,,,0.32,0.35,0.57,4.76,6.43,83
Brad Miller,1B,TEX,HOU@TEX,1.69,6.41,4.8,,,,,,0.36,0.32,0.53,4.8,6.41,12
Josh VanMeter,2B,PIT,MIL@PIT,1.68,7.17,5.44,,,,,,0.34,0.31,0.72,5.44,7.17,1
Chas McCormick,CF,HOU,HOU@TEX,1.65,6.14,4.61,,,,,,0.35,0.32,0.62,4.61,6.14,5
Paul DeJong,SS,STL,NYM@STL,1.65,6.59,4.92,,,,,,0.39,0.32,0.54,4.92,6.59,15
Jake Fraley,RF,CIN,SD@CIN,1.63,6.27,4.62,,,,,,0.35,0.3,0.46,4.62,6.27,7
Santiago Espinal,2B,TOR,BOS@TOR,1.63,6.06,4.57,,,,,,0.3,0.32,0.54,4.57,6.06,14
Jason Heyward,RF,CHC,CHC@ATL,1.62,6.06,4.63,,,,,,0.3,0.29,0.61,4.63,6.06,2
Sean Murphy,C,OAK,OAK@SF,1.61,6.17,4.65,,,,,,0.37,0.23,0.6,4.65,6.17,86
Raimel Tapia,CF,TOR,BOS@TOR,1.61,6.05,4.66,,,,,,0.25,0.39,0.63,4.66,6.05,15
Giovanny Urshela,3B,MIN,DET@MIN,1.6,5.72,4.45,,,,,,0.26,0.29,0.65,4.45,5.72,30
Christian Vazquez,C,BOS,BOS@TOR,1.59,6.14,4.79,,,,,,0.29,0.27,0.78,4.79,6.14,35
Taylor Ward,3B,LAA,CLE@LAA,1.58,5.82,4.31,,,,,,0.32,0.32,0.45,4.31,5.82,25
Robinson Cano,2B,NYM,NYM@STL,1.58,5.68,4.36,,,,,,0.32,0.27,0.63,4.36,5.68,16
Yadier Molina,C,STL,NYM@STL,1.57,5.89,4.57,,,,,,0.38,0.27,0.72,4.57,5.89,48
Owen Miller,SS,CLE,CLE@LAA,1.57,5.89,4.44,,,,,,0.37,0.3,0.58,4.44,5.89,80
Jose Iglesias,2B,COL,COL@PHI,1.57,5.67,4.41,,,,,,0.29,0.3,0.69,4.41,5.67,6
Andrelton Simmons,SS,CHC,CHC@ATL,1.55,5.7,4.56,,,,,,0.23,0.25,0.82,4.56,5.7,2
Abraham Toro-Hernandez,2B,SEA,SEA@TB,1.55,5.63,4.27,,,,,,0.29,0.28,0.54,4.27,5.63,8
Josh Lowe,CF,TB,SEA@TB,1.54,6.06,4.55,,,,,,0.32,0.36,0.54,4.55,6.06,43
Stephen Piscotty,RF,OAK,OAK@SF,1.53,6.24,4.93,,,,,,0.23,0.27,0.79,4.93,6.24,2
Victor Robles,CF,WAS,MIA@WAS,1.5,6.46,4.81,,,,,,0.23,0.34,0.61,4.81,6.46,8
Nick Ahmed,SS,ARI,LAD@ARI,1.48,6.36,4.91,,,,,,0.27,0.3,0.72,4.91,6.36,4
David Fletcher,2B,LAA,CLE@LAA,1.48,5.46,4.31,,,,,,0.2,0.38,0.71,4.31,5.46,12
Austin Hedges,C,CLE,CLE@LAA,1.47,5.63,4.23,,,,,,0.34,0.31,0.52,4.23,5.63,2
Keibert Ruiz,C,WAS,MIA@WAS,1.46,5.31,4.07,,,,,,0.27,0.25,0.59,4.07,5.31,83
Jed Lowrie,1B,OAK,OAK@SF,1.43,5.43,4.23,,,,,,0.24,0.26,0.66,4.23,5.43,3
Trevor Larnach,RF,MIN,DET@MIN,1.39,5.25,3.96,,,,,,0.26,0.28,0.49,3.96,5.25,6
Darin Ruf,OF,SF,OAK@SF,1.39,5.36,4.04,,,,,,0.27,0.28,0.5,4.04,5.36,15
Daniel Vogelbach,1B,PIT,MIL@PIT,1.37,5.18,3.93,,,,,,0.24,0.3,0.5,3.93,5.18,18
Martin Maldonado,C,HOU,HOU@TEX,1.36,5.25,3.82,,,,,,0.31,0.3,0.37,3.82,5.25,2
Tucker Barnhart,C,DET,DET@MIN,1.35,5.57,4.29,,,,,,0.28,0.26,0.65,4.29,5.57,6
Andy Ibanez,3B,TEX,HOU@TEX,1.35,4.94,3.76,,,,,,0.25,0.28,0.49,3.76,4.94,4
Joey Bart,C,SF,OAK@SF,1.34,5.57,4.22,,,,,,0.27,0.29,0.53,4.22,5.57,60
Rougned Odor,2B,BAL,BAL@NYY,1.33,5.38,4.09,,,,,,0.3,0.22,0.52,4.09,5.38,4
Jorge Mateo,2B,BAL,BAL@NYY,1.32,5.57,4.27,,,,,,0.22,0.25,0.53,4.27,5.57,30
Ramon Urias,2B,BAL,BAL@NYY,1.31,5.25,4.1,,,,,,0.24,0.25,0.64,4.1,5.25,4
Kevin Newman,2B,PIT,MIL@PIT,1.3,4.88,3.77,,,,,,0.26,0.23,0.6,3.77,4.88,2
Maikel Franco,3B,WAS,MIA@WAS,1.28,4.61,3.5,,,,,,0.35,0.18,0.51,3.5,4.61,19
Taylor Walls,SS,TB,SEA@TB,1.28,5.09,3.86,,,,,,0.24,0.26,0.48,3.86,5.09,3
Alejandro Kirk,C,TOR,BOS@TOR,1.28,4.63,3.53,,,,,,0.22,0.21,0.49,3.53,4.63,59
Lane Thomas,OF,WAS,MIA@WAS,1.27,4.99,3.76,,,,,,0.28,0.24,0.46,3.76,4.99,13
Carson Kelly,C,ARI,LAD@ARI,1.25,5.13,3.93,,,,,,0.22,0.25,0.55,3.93,5.13,37
Kyle Higashioka,C,NYY,BAL@NYY,1.25,4.86,3.64,,,,,,0.3,0.24,0.45,3.64,4.86,14
Seth Brown,1B,OAK,OAK@SF,1.24,5.11,3.93,,,,,,0.22,0.24,0.55,3.93,5.11,14
Jackie Bradley,CF,BOS,BOS@TOR,1.24,5.13,3.93,,,,,,0.2,0.25,0.54,3.93,5.13,2
Jonathan Villar,3B,CHC,CHC@ATL,1.22,4.98,3.83,,,,,,0.15,0.25,0.61,3.83,4.98,29
Rafael Ortega,RF,CHC,CHC@ATL,1.21,4.87,3.73,,,,,,0.21,0.24,0.51,3.73,4.87,11
Corey Dickerson,LF,STL,NYM@STL,1.2,4.46,3.45,,,,,,0.2,0.25,0.52,3.45,4.46,2
Alcides Escobar,SS,WAS,MIA@WAS,1.19,4.65,3.56,,,,,,0.19,0.32,0.49,3.56,4.65,2
Diego Castillo,3B,PIT,MIL@PIT,1.18,4.7,3.63,,,,,,0.2,0.24,0.52,3.63,4.7,10
Colin Moran,1B,CIN,SD@CIN,1.16,4.4,3.28,,,,,,0.29,0.2,0.39,3.28,4.4,14
Mike Zunino,C,TB,SEA@TB,1.15,4.93,3.6,,,,,,0.31,0.29,0.35,3.6,4.93,38
Tyler Wade,2B,LAA,CLE@LAA,1.13,4.81,3.6,,,,,,0.19,0.24,0.49,3.6,4.81,14
Robinson Chirinos,C,BAL,BAL@NYY,1.05,4.29,3.25,,,,,,0.2,0.18,0.41,3.25,4.29,1
Cal Raleigh,C,SEA,SEA@TB,1.01,4.19,3.19,,,,,,0.22,0.16,0.41,3.19,4.19,3
Yoshitomo Tsutsugo,1B,PIT,MIL@PIT,0.98,4.06,3.05,,,,,,0.23,0.21,0.4,3.05,4.06,5
Sergio Alcantara,SS,ARI,LAD@ARI,0.93,4.02,3.06,,,,,,0.19,0.21,0.39,3.06,4.02,null
Donovan Solano,2B,CIN,SD@CIN,0.86,3.22,2.51,,,,,,0.15,0.15,0.39,2.51,3.22,1
Roberto Perez,C,PIT,MIL@PIT,0.83,4.25,3.25,,,,,,0.17,0.18,0.45,3.25,4.25,3